name,url,website_url,featured,rating,num_reviews,num_users,version,size,developer,updated_date,num_languages,timestamp
Read Aloud: A Text to Speech Voice Reader,https://chromewebstore.google.com/detail/read-aloud-a-text-to-spee/hdhinadidafjejdhmfkjgnolgimiaplp,https://lsdsoftware.com/,True,4.2,3300,5000000,2.19.1,445KiB,"Business
158 Magellan Ave San Jose, CA 95116 US
Website
Email","April 26, 2025",9.0,2025-04-28 12:52:30
"Read Aloud: Text to Speech (TTS, Listen to Text)",https://chromewebstore.google.com/detail/read-aloud-text-to-speech/npdkkcjlmhcnnaoobfdjndibfkkhhdfn,https://thereadme.com/,True,4.3,2700,500000,1.1.9,2.59MiB,"Website
Email","March 24, 2025",18.0,2025-04-28 12:52:36
NaturalReader - AI Text to Speech,https://chromewebstore.google.com/detail/naturalreader-ai-text-to/kohfgcgbkjodfcfkcackpagifgbcmimk,https://www.naturalreaders.com/,True,4.2,2000,900000,7.0.10,2.68MiB,"NaturalSoft Limited
935 - 6388 NO. 3 ROAD Richmond, BC V6Y 0L4 CA
Website
Email
Phone","December 8, 2024",,2025-04-28 12:52:38
Voice Out: Text to Speech Voice Reader,https://chromewebstore.google.com/detail/voice-out-text-to-speech/jmodgcjbfcmningbahdmedofbabejbba,https://voiceout.app/,False,4.3,97,20000,1.17,2.06MiB,"Website
Email","April 22, 2025",40.0,2025-04-28 12:52:40
Speechify Text to Speech Voice Reader,https://chromewebstore.google.com/detail/speechify-text-to-speech/ljflmlehinmoeknoonhibbjpldiijjmm,https://speechify.com/,True,4.6,18200,1000000,11.34.0,23.25MiB,"Speechify Inc
7901 4th St N STE 6193 St. Petersburg, FL 33702 US
Website
Email","April 21, 2025",,2025-04-28 12:52:42
Text to Speech Chrome Extension,https://chromewebstore.google.com/detail/text-to-speech-chrome-ext/cpabikagfnbfhciiflkalhjndgpiipmg,https://chromewebstore.google.com/user/installed,False,4.0,12,4000,1.3,745KiB,Email,"October 9, 2024",52.0,2025-04-28 12:52:44
Edge Text to Speech Voice Reader,https://chromewebstore.google.com/detail/edge-text-to-speech-voice/jeenjljjokaobgdbemlplaidbjfliknl,https://mapache.dev/,False,4.0,7,865,1.0.2,113KiB,"Website
Email","March 22, 2025",,2025-04-28 12:52:46
Pericles: Text to Speech Screen Reader,https://chromewebstore.google.com/detail/pericles-text-to-speech-s/oacindbdmlbdeidohafnfocfckkhjlbg,https://getpericles.com/,False,4.0,132,20000,2.2.13,463KiB,"Website
Email","August 18, 2023",,2025-04-28 12:52:48
MS Edge TTS (Text to Speech),https://chromewebstore.google.com/detail/ms-edge-tts-text-to-speec/oajalfneblkfiejoadecnmodfpnaeblh,https://chromewebstore.google.com/user/installed,False,4.5,53,4000,1.2.8,1.44MiB,Email,"January 30, 2025",,2025-04-28 12:52:49
Text to Speech (Dubbing) - SpeakText,https://chromewebstore.google.com/detail/text-to-speech-dubbing-sp/kglnbmpmjfbmcodgcgibonfeenmmgmmp,https://chromewebstore.google.com/user/installed,False,4.3,20,10000,0.0.23,1.03MiB,Email,"April 3, 2025",3.0,2025-04-28 12:52:52
Text to Speech Extension,https://chromewebstore.google.com/detail/text-to-speech-extension/dgfphehljklflggebnikioimdpjoblim,https://chromewebstore.google.com/user/installed,False,5.0,11,3000,1.5,742KiB,Email,"October 7, 2024",52.0,2025-04-28 12:52:53
Slang - Text to Speech,https://chromewebstore.google.com/detail/slang-text-to-speech/enkmbkhkbdiaafkmofbmdahclajelgfh,https://kauer3.github.io/,False,4.6,9,650,0.4,220KiB,"Website
Email","April 27, 2021",,2025-04-28 12:52:56
"GPT Reader: Free AI Text to Speech with ChatGPT Voices, TTS",https://chromewebstore.google.com/detail/gpt-reader-free-ai-text-t/aeggkceabpfajnglgaeadofdmeboimml,https://gpt-reader.com/,False,4.8,29,4000,1.1.0,4.84MiB,"Website
Email","April 18, 2025",51.0,2025-04-28 12:52:57
Waves: Text-to-Speech Voice Reader,https://chromewebstore.google.com/detail/waves-text-to-speech-voic/cfdkiigckljdahakjbleipdhendolcnn,https://chromewebstore.google.com/user/installed,False,4.2,5,114,0.0.1,1.05MiB,"Smallest INC
16192 Coastal Hwy Lewes, DE 19958 US
Email
Phone","November 29, 2024",,2025-04-28 12:52:59
Lichess Text To Speech,https://chromewebstore.google.com/detail/lichess-text-to-speech/khmempcacbgfbhkeocpahgcmognoaoeh,https://chromewebstore.google.com/user/installed,False,4.2,13,403,1.0.5,12.66KiB,Email,"August 11, 2023",,2025-04-28 12:53:01
Text to Speech TTS AI | Readvox,https://chromewebstore.google.com/detail/text-to-speech-tts-ai-rea/abhjpgicemlbiclagmlbnchinjdimkog,https://readvox.com/,True,4.4,178,20000,3.19.1,16.99MiB,"Fenvox LLC
17350 State Highway 249 Ste 220 Houston, TX 77064 US
Website
Email
Phone","April 27, 2025",11.0,2025-04-28 12:53:02
Speaktor: Convert Text to Audio,https://chromewebstore.google.com/detail/speaktor-convert-text-to/pkalafphkhagdcdomigccbieboahfipl,https://speaktor.com/,False,4.8,56,3000,1,210KiB,"Transkriptor
1111B S Governors Ave STE 3804 Dover, DE 19904-6903 US
Website
Email
Phone","March 2, 2023",36.0,2025-04-28 12:53:04
Text to Speech - AI Voice Generator,https://chromewebstore.google.com/detail/text-to-speech-ai-voice-g/lkhffkmjeoaopmgmekkpdolbbmhecalc,https://www.transmonkey.ai/text-to-speech,False,4.3,6,337,1.1,286KiB,"Website
Email","January 14, 2025",55.0,2025-04-28 12:53:06
Google Docs Free Text to Speech by OmniReader,https://chromewebstore.google.com/detail/google-docs-free-text-to/jliapgikcbjfohiheiadbelinopjjhej,https://chromewebstore.google.com/user/installed,False,4.0,2,100,0.1.0,125KiB,Email,"December 18, 2024",,2025-04-28 12:53:08
Offline Text To Speech,https://chromewebstore.google.com/detail/offline-text-to-speech/ecnibbdjecjgllmkodkjnodmblmffkkp,https://chromewebstore.google.com/user/installed,True,4.5,2,963,1.0.0,1.06MiB,"Kandivali Mumbai, Maharashra 400067 India
Email","September 13, 2021",,2025-04-28 12:53:10
Vocalize: Text-to-Speech Reader,https://chromewebstore.google.com/detail/vocalize-text-to-speech-r/blfcpmpbhiimmppeommigmccaenlihhm,https://chromewebstore.google.com/user/installed,False,5.0,1,52,1.4,144KiB,Email,"January 7, 2025",,2025-04-28 12:53:12
Translator and Text to Speech (TTS),https://chromewebstore.google.com/detail/translator-and-text-to-sp/nkbpagohbgnpdpldlcmabekfidlkfcad,https://www.freetranslations.org/,False,4.2,6,1000,1.7,46.77KiB,"Website
Email","April 7, 2021",,2025-04-28 12:53:15
Paper To Audio,https://chromewebstore.google.com/detail/paper-to-audio/djncfliejhhejjgbhcopflpnlaeicnco,https://chromewebstore.google.com/user/installed,True,4.1,10,1000,3.0,2.9MiB,Email,"January 19, 2025",,2025-04-28 12:53:17
Playtext — Text to Speech,https://chromewebstore.google.com/detail/playtext-%E2%80%94-text-to-speech/ccocbkipkgmgmpjnjnhkhkdojodbbcck,https://playtext.app/,True,4.0,8,1000,2.0.8,65.21KiB,"Website
Email","February 6, 2024",,2025-04-28 12:53:19
AI speaker - Text to speech,https://chromewebstore.google.com/detail/ai-speaker-text-to-speech/fbmdamampclnekmjdbcceojhfiabfgla,https://chromewebstore.google.com/user/installed,False,5.0,9,293,1.0.7,344KiB,Email,"February 13, 2025",,2025-04-28 12:53:20
